,Body type,Number of previous owners,Seats,city,kilometer driven,price,Car model,Year of car manufacture,Length,Fuel type,Width,Color,Brand Name,Insurance Validity_value,Transmission type,Engine Displacement_value(cc)
678,MUV,1,7.0,chennai,34000,2790000.0,Toyota Innova Crysta,2021,4735,Diesel,1830,Silver,Toyota,Comprehensive,Automatic,2393
679,Hatchback,1,5.0,chennai,22305,550000.0,Maruti Wagon R,2020,3655 mm,Petrol,1620 mm,Brown,Maruti,Comprehensive,Manual,998
680,Hatchback,1,5.0,chennai,33573,421000.0,Renault KWID,2019,3679mm,Petrol,1579mm,Silver,Renault,Comprehensive,Manual,999
681,Hatchback,1,5.0,chennai,33615,303000.0,Datsun RediGO,2019,3429mm,Petrol,1560mm,Silver,Datsun,Third Party,Manual,799
682,Hatchback,2,5.0,chennai,30000,780000.0,Honda Jazz,2018,3955 mm,Petrol,1694 mm,Others,Honda,Third Party insurance,Automatic,1199
683,Sedan,1,5.0,chennai,34935,643000.0,Tata Tigor,2020,3992mm,Petrol,1677mm,White,Tata,Comprehensive,Manual,1199
684,Hatchback,2,5.0,chennai,66511,474000.0,Maruti Celerio,2018,3695mm,Petrol,1600mm,Orange,Maruti,Comprehensive,Automatic,998
685,Sedan,1,5.0,chennai,24000,4200000.0,Toyota Camry,2021,4850mm,Petrol,1825mm,White,Toyota,Comprehensive,Automatic,2494
686,Sedan,1,5.0,chennai,68979,644000.0,Maruti Swift Dzire,2017,3995mm,Petrol,1735mm,Blue,Maruti,Comprehensive,Manual,1197
687,MUV,1,7.0,chennai,50000,1200000.0,Maruti Ertiga,2021,4395 mm,Petrol,1735 mm,Gray,Maruti,Third Party insurance,Manual,1462
688,Hatchback,2,5.0,chennai,45161,519000.00000000006,Maruti Wagon R,2019,3599mm,Petrol,1495mm,Orange,Maruti,Comprehensive,Automatic,998
689,SUV,1,5.0,chennai,42917,811000.0,Ford Ecosport,2018,3998mm,Diesel,1765mm,Blue,Ford,Comprehensive,Manual,1498
690,Hatchback,1,5.0,chennai,20000,725000.0,Maruti Baleno,2019,3995mm,Petrol,1745mm,Others,Maruti,Third Party insurance,Manual,1197
691,Hatchback,1,5.0,chennai,32000,725000.0,Maruti Baleno,2018,3995mm,Petrol,1745mm,Grey,Maruti,Comprehensive,Automatic,1197
692,Hatchback,1,5.0,chennai,40000,750000.0,Hyundai i20,2019,3985mm,Diesel,1734mm,Others,Hyundai,Third Party insurance,Manual,1396
693,Sedan,1,5.0,chennai,29911,950000.0,Honda City,2020,4440,Petrol,1695,Lunar Silver Metallic,Honda,Comprehensive,Manual,1497
694,Sedan,1,5.0,chennai,23000,925000.0,Hyundai Verna,2018,4440mm,Petrol,1729mm,Grey,Hyundai,Comprehensive,Automatic,1591
695,Sedan,2,5.0,chennai,100000,525000.0,Tata Zest,2018,3995mm,Diesel,1706mm,Others,Tata,Third Party insurance,Manual,1248
696,MUV,1,7.0,chennai,42000,1875000.0,Toyota Innova Crysta,2016,4735mm,Diesel,1830mm,Silver,Toyota,Comprehensive,Manual,2393
697,Sedan,1,5.0,chennai,58000,2650000.0,Mercedes-Benz C-Class,2016,4686mm,Diesel,2020mm,White,Mercedes-Benz,Comprehensive,Automatic,2143
698,Hatchback,1,5.0,chennai,53764,550000.0,Maruti Swift,2015,3840mm,Diesel,1735mm,Grey,Maruti,Comprehensive,Manual,1248
699,Hatchback,1,5.0,chennai,61455,500000.0,Hyundai Grand i10,2015,3765mm,Petrol,1660mm,Silver,Hyundai,Third Party insurance,Manual,1197
700,SUV,2,5.0,chennai,52732,1209000.0,Jeep Compass,2018,4395mm,Petrol,1818mm,Silver,Jeep,Zero Dep,Automatic,1368
